Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;GoSAT;GS4380;7 489;8 490 Kč;v 13 obchodech;https://televize.heureka.cz/gosat-gs4380/
Televisor;Philips;58PUS7505;9 990;15 990 Kč;v 29 obchodech;https://televize.heureka.cz/philips-58pus7505/
Televisor;Sencor;SLE;2 989;2 999 Kč;v 5 obchodech;https://televize.heureka.cz/sencor-sle-2469tcs/
Televisor;Philips;65PUS7354;17 990;26 999 Kč;v 5 obchodech;https://televize.heureka.cz/philips-65pus7354/
Televisor;Panasonic;TX-55HX580E;10 552;15 166 Kč;v 35 obchodech;https://televize.heureka.cz/panasonic-tx-55hx580e/
Televisor;Philips;55OLED805;28 139;34 990 Kč;v 10 obchodech;https://televize.heureka.cz/philips-55oled805/
Televisor;Philips;43PUS7805;9 074;12 990 Kč;v 19 obchodech;https://televize.heureka.cz/philips-43pus7805/
Televisor;Hisense;40A5600F;5 627;8 350 Kč;v 19 obchodech;https://televize.heureka.cz/hisense-40a5600f/
Televisor;Hisense;55AE7000F;9 489;9 490 Kč;ve 4 obchodech;https://televize.heureka.cz/hisense-55ae7000f/
Televisor;Samsung;UE50TU8072;11 489;15 990 Kč;v 13 obchodech;https://televize.heureka.cz/samsung-ue50tu8072/
Televisor;Thomson;55UG6400;10 990;13 990 Kč;v 9 obchodech;https://televize.heureka.cz/thomson-55ug6400/
Televisor;Sony;KD-65XG7005;14 990;16 790 Kč;ve 3 obchodech;https://televize.heureka.cz/sony-kd-65xg7005/
Televisor;Samsung;UE75TU7172;24 987;27 990 Kč;v 11 obchodech;https://televize.heureka.cz/samsung-ue75tu7172/
Televisor;TCL;32S615;5 489;5 990 Kč;v 12 obchodech;https://televize.heureka.cz/tcl-32s615/
Televisor;LG;43UN8100;9 989;11 490 Kč;v 18 obchodech;https://televize.heureka.cz/lg-43un8100/
Televisor;Finlux;24FDMF5760;7 499 Kč;no max price;vatoselektro.cz;https://www.heureka.cz/exit/shop-atoselektro-cz/4320266856/?z=48
